onset	duration	trial_type
2	2	camera_cut
4	4	camera_cut
8	2	camera_cut
10	2	camera_cut
12	2	camera_cut
14	2	camera_cut
16	2	camera_cut
18	2	camera_cut
20	2	camera_cut
22	2	camera_cut
24	2	camera_cut
26	2	camera_cut
28	2	camera_cut
30	2	camera_cut
32	2	camera_cut
34	2	camera_cut
36	2	camera_cut
38	2	camera_cut
40	2	camera_cut
42	2	camera_cut
44	2	camera_cut
46	2	camera_cut
48	4	camera_cut
52	12	camera_cut
64	2	camera_cut
66	2	camera_cut
68	2	camera_cut
70	2	camera_cut
72	12	camera_cut
84	6	camera_cut
90	4	camera_cut
94	2	camera_cut
96	2	camera_cut
98	2	camera_cut
100	2	camera_cut
102	2	camera_cut
104	2	camera_cut
106	2	camera_cut
108	2	camera_cut
110	2	camera_cut
112	2	camera_cut
114	4	camera_cut
118	2	camera_cut
120	2	camera_cut
122	2	camera_cut
124	2	camera_cut
126	2	camera_cut
128	2	camera_cut
130	2	camera_cut
132	2	camera_cut
134	2	camera_cut
136	2	camera_cut
138	2	camera_cut
140	2	camera_cut
142	4	camera_cut
146	2	camera_cut
148	2	camera_cut
150	2	camera_cut
152	2	camera_cut
154	2	camera_cut
156	2	camera_cut
158	2	camera_cut
160	2	camera_cut
162	2	camera_cut
164	2	camera_cut
166	2	camera_cut
168	2	camera_cut
170	2	camera_cut
172	2	camera_cut
174	2	camera_cut
176	2	camera_cut
178	2	camera_cut
180	2	camera_cut
182	2	camera_cut
184	2	camera_cut
186	2	camera_cut
188	4	camera_cut
192	2	camera_cut
194	2	camera_cut
196	2	camera_cut
198	2	camera_cut
200	2	camera_cut
202	2	camera_cut
204	4	camera_cut
208	8	camera_cut
216	8	camera_cut
224	4	camera_cut
228	4	camera_cut
232	2	camera_cut
234	2	camera_cut
236	2	camera_cut
238	2	camera_cut
240	2	camera_cut
242	2	camera_cut
244	2	camera_cut
246	2	camera_cut
248	2	camera_cut
250	2	camera_cut
252	2	camera_cut
254	2	camera_cut
256	2	camera_cut
258	2	camera_cut
260	2	camera_cut
262	2	camera_cut
264	2	camera_cut
266	2	camera_cut
268	2	camera_cut
270	2	camera_cut
272	2	camera_cut
274	2	camera_cut
276	2	camera_cut
278	2	camera_cut
280	2	camera_cut
282	2	camera_cut
284	4	camera_cut
288	2	camera_cut
290	2	camera_cut
292	2	camera_cut
294	2	camera_cut
296	2	camera_cut
298	2	camera_cut
300	2	camera_cut
302	2	camera_cut
304	2	camera_cut
306	2	camera_cut
308	2	camera_cut
310	2	camera_cut
312	2	camera_cut
314	2	camera_cut
316	2	camera_cut
318	2	camera_cut
320	2	camera_cut
322	2	camera_cut
324	2	camera_cut
326	2	camera_cut
328	2	camera_cut
330	2	camera_cut
332	6	camera_cut
338	2	camera_cut
340	2	camera_cut
342	2	camera_cut
344	2	camera_cut
346	2	camera_cut
348	6	camera_cut
354	2	camera_cut
356	6	camera_cut
362	4	camera_cut
366	12	camera_cut
378	2	camera_cut
380	6	camera_cut
386	2	camera_cut
388	14	camera_cut
402	4	camera_cut
406	6	camera_cut
412	2	camera_cut
414	2	camera_cut
416	2	camera_cut
418	2	camera_cut
420	8	camera_cut
428	4	camera_cut
432	2	camera_cut
434	4	camera_cut
438	2	camera_cut
440	4	camera_cut
444	2	camera_cut
446	2	camera_cut
448	2	camera_cut
450	4	camera_cut
454	2	camera_cut
456	2	camera_cut
458	2	camera_cut
460	2	camera_cut
462	2	camera_cut
464	2	camera_cut
466	2	camera_cut
468	2	camera_cut
470	2	camera_cut
472	2	camera_cut
474	2	camera_cut
476	2	camera_cut
478	4	camera_cut
482	2	camera_cut
484	2	camera_cut
486	2	camera_cut
488	4	camera_cut
492	2	camera_cut
494	2	camera_cut
496	2	camera_cut
498	6	camera_cut
504	2	camera_cut
506	4	camera_cut
510	2	camera_cut
512	2	camera_cut
514	4	camera_cut
518	2	camera_cut
520	2	camera_cut
522	4	camera_cut
526	2	camera_cut
528	2	camera_cut
530	2	camera_cut
532	2	camera_cut
534	2	camera_cut
536	2	camera_cut
538	2	camera_cut
540	2	camera_cut
542	2	camera_cut
544	2	camera_cut
546	4	camera_cut
550	2	camera_cut
552	2	camera_cut
554	2	camera_cut
556	2	camera_cut
558	2	camera_cut
560	2	camera_cut
562	2	camera_cut
564	2	camera_cut
566	2	camera_cut
568	2	camera_cut
570	2	camera_cut
572	2	camera_cut
574	2	camera_cut
576	2	camera_cut
578	2	camera_cut
580	2	camera_cut
582	2	camera_cut
584	2	camera_cut
586	2	camera_cut
588	2	camera_cut
590	4	camera_cut
594	2	camera_cut
596	4	camera_cut
600	4	camera_cut
604	2	camera_cut
606	2	camera_cut
608	2	camera_cut
610	2	camera_cut
612	2	camera_cut
614	2	camera_cut
616	2	camera_cut
618	2	camera_cut
620	2	camera_cut
622	2	camera_cut
624	2	camera_cut
626	2	camera_cut
628	2	camera_cut
630	2	camera_cut
632	2	camera_cut
634	2	camera_cut
636	2	camera_cut
638	2	camera_cut
640	2	camera_cut
642	2	camera_cut
644	2	camera_cut
646	2	camera_cut
648	2	camera_cut
650	2	camera_cut
652	2	camera_cut
654	2	camera_cut
656	2	camera_cut
658	4	camera_cut
662	2	camera_cut
664	2	camera_cut
666	2	camera_cut
668	2	camera_cut
670	2	camera_cut
672	2	camera_cut
674	2	camera_cut
676	2	camera_cut
678	2	camera_cut
680	2	camera_cut
682	2	camera_cut
684	2	camera_cut
686	2	camera_cut
688	2	camera_cut
690	2	camera_cut
692	2	camera_cut
694	2	camera_cut
696	2	camera_cut
698	2	camera_cut
700	2	camera_cut
702	2	camera_cut
704	8	camera_cut
712	2	camera_cut
714	2	camera_cut
716	2	camera_cut
718	4	camera_cut
722	2	camera_cut
724	2	camera_cut
726	2	camera_cut
728	2	camera_cut
730	2	camera_cut
732	2	camera_cut
734	2	camera_cut
736	2	camera_cut
738	2	camera_cut
740	2	camera_cut
742	2	camera_cut
744	2	camera_cut
746	2	camera_cut
748	2	camera_cut
750	2	camera_cut
752	2	camera_cut
754	2	camera_cut
756	2	camera_cut
758	2	camera_cut
760	2	camera_cut
762	2	camera_cut
764	2	camera_cut
766	2	camera_cut
768	2	camera_cut
770	2	camera_cut
772	2	camera_cut
774	2	camera_cut
776	2	camera_cut
